"BHM"	[["NW", 3.3388194267245046], ["PI", 4.113965436711817], ["US", 4.265622133343118], ["EA", 4.603519281168102], ["AA", 5.082683307332293], ["CO", 5.769570150006302], ["UA", 6.944757829216106], ["DL", 7.836896168795114], ["WN", 7.950734079361616], ["9.0", 9.557251908396946], ["9E", 10.20075997466751], ["OH", 10.759918911091804], ["EV", 10.773611770289511], ["XE", 10.946414602346806], ["OO", 15.408236101578586], ["YV", 21.969093009820913], ["DH", 24.874125874125873], ["MQ", 25.633294528521535]]
"BIL"	[["9.0", 1.2], ["OH", 3.931947069943289], ["YV", 4.08], ["NW", 5.127128536116452], ["EV", 5.751662971175167], ["CO", 5.848122866894198], ["OO", 5.952591098222166], ["DL", 6.19168410041841], ["UA", 7.91585578203421], ["XE", 8.418181818181818], ["9E", 22.896551724137932]]
"BIS"	[["NW", 4.55444342226311], ["CO", 5.0687906371911575], ["DL", 6.576093469143199], ["OO", 7.139955623826592], ["9.0", 11.326241134751774], ["9E", 14.657534246575343]]
"BJI"	[["9E", 4.181818181818182], ["9.0", 14.01010101010101]]
"BLI"	[["PS", 2.8352059925093633], ["US", 4.466175056107727], ["AS", 6.184537505752416], ["OO", 6.350091407678245]]
"BMI"	[["MQ", 10.455491492054563], ["FL", 11.403335649756775], ["OO", 13.696022727272727], ["DH", 14.101910828025478], ["EV", 16.999194198227237], ["YV", 29.14822266934943]]
"BNA"	[["PA (1)", 1.0126422250316056], ["EA", 4.154147383410466], ["TW", 5.0960723368183105], ["PI", 5.466535433070866], ["US", 5.7143802050449475], ["NW", 6.394459000233469], ["AA", 6.578894690510931], ["F9", 6.638024550385384], ["DL", 8.038852913968547], ["WN", 9.033334512705926], ["UA", 9.055386949924127], ["CO", 9.339642075447406], ["9.0", 9.989173228346457], ["OH", 10.87817938420348], ["9E", 11.638225255972696], ["OO", 12.636046003785122], ["XE", 12.958695738512253], ["EV", 13.266761768901569], ["MQ", 13.918401026863481], ["DH", 14.813125406107861], ["B6", 17.90281690140845], ["YV", 22.215296032044062]]
"BOI"	[["MQ", 3.475], ["F9", 4.634961439588689], ["CO", 4.7523680649526385], ["DL", 4.919285000555123], ["US", 5.577488687782806], ["HP", 5.6152053075129995], ["YV", 6.3355263157894735], ["WN", 7.071363658692341], ["AS", 7.669490308686289], ["NW", 8.048675799086759], ["EV", 8.140425531914893], ["XE", 8.820757214720677], ["UA", 9.08634275684356], ["OO", 10.075862762853406]]
"BOS"	[["PA (1)", 4.7539732994278445], ["ML (1)", 5.712218649517685], ["TZ", 7.454652880354505], ["EA", 8.221146057126756], ["DL", 8.389182525742463], ["EV", 8.605678233438486], ["NW", 9.171952226936055], ["US", 10.055202783354995], ["AA", 10.211159129004837], ["TW", 11.074855122995167], ["XE", 11.330072309655465], ["UA", 11.461023548952014], ["CO", 11.66463843272832], ["PI", 12.147691517369807], ["HP", 12.77550663259949], ["B6", 13.085887123579074], ["DH", 13.096140610937583], ["FL", 13.913933478280983], ["9.0", 14.191475409836066], ["9E", 14.535309503051439], ["OH", 14.601099276130261], ["MQ", 15.468279623814777], ["AS", 15.905167820990943], ["YV", 27.73646104836374]]
"BPT"	[["XE", 4.824544349939247], ["MQ", 5.8696507624200684], ["EV", 7.487204724409449], ["OO", 10.9317738791423]]
"BQK"	[["EV", 11.344632768361581]]
"BQN"	[["AA", 5.404947320201558], ["B6", 6.9636053454648845], ["CO", 9.881899871630296]]
"BRO"	[["CO", 3.859083644112946], ["XE", 7.610861934477379]]
"BRW"	[["AS", 12.968266388454182]]
"BTM"	[["DL", 3.094585008276188], ["OO", 4.275607353906763]]
"BTR"	[["NW", 3.230173344339323], ["AA", 3.701896566129167], ["CO", 5.539402784014369], ["9.0", 6.4723032069970845], ["DL", 8.805578862971043], ["9E", 9.547138047138047], ["XE", 10.251115715651897], ["MQ", 12.687535779339058], ["OH", 13.62719298245614], ["F9", 16.0], ["EV", 18.063039614017267], ["OO", 90.0]]
"BTV"	[["PI", 1.7632743362831858], ["US", 7.035587774940275], ["CO", 7.817435249526216], ["FL", 8.309002433090024], ["9.0", 9.04516129032258], ["NW", 9.234957020057307], ["UA", 10.689796538111144], ["OH", 11.439516745679768], ["DH", 11.783608260813093], ["B6", 12.968131272036887], ["MQ", 13.523997741389046], ["9E", 13.692762186115214], ["XE", 16.746547756041426], ["OO", 16.76631925397696], ["YV", 18.535211267605632], ["EV", 22.76608187134503]]
"BUF"	[["PI", 5.461798839458414], ["AA", 5.686748072365066], ["NW", 5.712899259685563], ["EA", 6.126664777557382], ["US", 7.91417187827653], ["WN", 8.51565898864686], ["9.0", 8.85], ["ML (1)", 8.944444444444445], ["DL", 9.653330410318244], ["OO", 9.671991480298189], ["UA", 9.742857898635066], ["CO", 10.092260793828544], ["9E", 10.80108991825613], ["DH", 10.838771593090211], ["FL", 11.042935480107339], ["OH", 14.40929203539823], ["MQ", 14.929698918444899], ["B6", 15.66757772463273], ["XE", 17.365788950056377], ["EV", 18.25492957746479], ["YV", 25.10922262468654]]
"BUR"	[["DL", 3.3273942093541202], ["PS", 4.039957188726365], ["HP", 4.757341488970067], ["AA", 5.0312341587054], ["CO", 5.419202518363064], ["TW", 6.0978989718372825], ["US", 6.119034302759135], ["WN", 6.968879922157278], ["YV", 7.453867294856694], ["AS", 8.166269841269841], ["UA", 10.31846529284165], ["OO", 10.505862106055718], ["B6", 12.687255250978996]]
"BWI"	[["9.0", 3.1882352941176473], ["F9", 4.915831663326653], ["PA (1)", 5.942857142857143], ["CO", 7.077083108597495], ["AA", 7.569194958555694], ["YV", 7.681959564541213], ["NW", 8.26086138210107], ["US", 8.482188441990685], ["EA", 8.600656275635767], ["DL", 8.779586267391146], ["TW", 9.058591669329925], ["UA", 9.574606503120185], ["9E", 10.884984025559106], ["FL", 10.886851362037467], ["WN", 11.117237365593963], ["PI", 11.324673708660546], ["TZ", 11.5], ["HP", 11.852048078443776], ["DH", 12.681818181818182], ["OO", 14.441106719367589], ["OH", 15.026594594594595], ["MQ", 15.241850683491062], ["XE", 15.37833150784958], ["EV", 21.227863046044863]]
"BZN"	[["F9", 0.0], ["NW", 5.872624097845849], ["DL", 6.761342968097134], ["OO", 7.296814094901513], ["CO", 8.493329912775783], ["EV", 11.27893175074184], ["UA", 12.580568720379146], ["9.0", 31.2], ["9E", 45.074074074074076]]
"CAE"	[["AA", 3.041250198318261], ["US", 4.259760409901133], ["EA", 4.97742170429716], ["PI", 7.181414055884844], ["UA", 8.235944257568477], ["DL", 8.965370327617688], ["9.0", 10.322690992018243], ["MQ", 10.493595472147751], ["OH", 10.599348534201955], ["CO", 10.652738208293764], ["9E", 10.687461773700306], ["DH", 13.362430301865025], ["EV", 14.164735287434674], ["XE", 18.822405498281785], ["YV", 24.234763948497854]]
"CAK"	[["NW", 2.7357142857142858], ["US", 3.9998048653570963], ["AA", 4.264363998671538], ["CO", 4.728205128205128], ["F9", 5.698502630513962], ["EA", 5.965840220385675], ["PI", 6.125369603784743], ["9.0", 6.74437627811861], ["UA", 6.935018050541516], ["OH", 8.997911559066557], ["DL", 9.450471698113208], ["9E", 10.48860759493671], ["FL", 12.258162455042273], ["OO", 12.301294820717132], ["EV", 18.698075552387742], ["DH", 19.623222748815166], ["YV", 30.977391304347826]]
"CCR"	[["US", 3.28692792545903], ["PS", 4.164670658682635]]
"CDC"	[["OO", 6.776082130965594]]
"CDV"	[["AS", 11.491251971891582]]
"CEC"	[["OO", 16.68399522754389]]
"CHA"	[["YV", 1.1538461538461537], ["AA", 1.1670792079207921], ["NW", 1.916289592760181], ["US", 2.771345875542692], ["OH", 5.539208364451083], ["DL", 5.811710126379779], ["9E", 6.130063965884862], ["9.0", 6.276595744680851], ["PI", 6.853790613718411], ["XE", 7.601419878296146], ["DH", 8.487460815047022], ["MQ", 10.679001203369435], ["EV", 13.261902843792798]]
"CHO"	[["US", 3.9457906570072447], ["OH", 5.143985637342908], ["PI", 6.34640522875817], ["DH", 6.969968235633844], ["YV", 7.741935483870968], ["EV", 12.309359416954354]]
"CHS"	[["AA", 2.013202519379845], ["EA", 4.468946047678796], ["US", 4.90566224509998], ["UA", 6.489703880190606], ["9.0", 7.481918819188192], ["CO", 7.638136213841084], ["PI", 7.727529761904762], ["NW", 7.8539094650205765], ["DL", 8.557289455060156], ["FL", 8.682182985553773], ["OH", 10.815455746367238], ["EV", 11.553485896753592], ["9E", 11.573855243722305], ["DH", 12.122134387351778], ["MQ", 14.91388888888889], ["YV", 16.226481822039894], ["XE", 16.964248596965287], ["OO", 18.271714922048996]]
"CIC"	[["OO", 12.497020781863101]]
"CID"	[["AA", 3.6203090507726268], ["CO", 3.888888888888889], ["TW", 4.18279608192342], ["NW", 4.376552144435133], ["HP", 4.835716077251066], ["OH", 5.6879432624113475], ["UA", 8.032483777656164], ["9E", 10.616312741312742], ["MQ", 10.92834595959596], ["DH", 11.382760160786065], ["9.0", 11.93175487465181], ["OO", 15.86535303776683], ["EV", 19.110759493670887], ["YV", 25.237673830594186]]
"CKB"	[["OH", 27.375]]
"CLD"	[["OO", 6.091616386154334], ["YV", 6.826042726347914]]
"CLE"	[["ML (1)", 3.9684035476718402], ["AA", 5.350639714797589], ["DL", 5.545346023552185], ["EA", 5.584815618221258], ["PI", 5.671774193548387], ["NW", 6.056594818415411], ["US", 7.275819567290176], ["PA (1)", 7.62691415313225], ["CO", 7.831882315166463], ["9.0", 7.9296636085626915], ["XE", 8.202660537396008], ["TW", 9.060407478725386], ["UA", 9.405590006291003], ["WN", 9.591558220473633], ["9E", 9.83744557329463], ["DH", 10.607433573951774], ["HP", 12.265579710144927], ["OH", 12.415032266228014], ["MQ", 15.336581460829239], ["YV", 17.515201165119244], ["EV", 18.47331651465166], ["OO", 20.118760757314973]]
"CLL"	[["XE", 5.613215859030837], ["OO", 6.015384615384615], ["MQ", 6.640525908739366]]
