((u'LAX', u'SFO'), 11.514700160736954)
((u'PIT', u'TTN'), 5.730622617534943)
((u'BFL', u'BUR'), 2.2083333333333335)
((u'ORD', u'PHX'), 12.634451883734524)
((u'SWF', u'ALB'), 3.51)
((u'SNA', u'LAX'), 5.551277437927312)
((u'ABQ', u'DFW'), 5.858593932777041)
((u'ORF', u'IAH'), 5.835898925355794)
((u'SFO', u'YKM'), 7.490291262135922)
((u'LAS', u'LGB'), 6.1763848396501455)
((u'SFO', u'DFW'), 8.14609614249993)
((u'CLE', u'DAB'), 0.0)
((u'IAD', u'SEA'), 10.90800164136233)
((u'MKE', u'LAS'), 12.056080463273393)
((u'CMH', u'PBI'), 15.938356164383562)
((u'LBB', u'DAL'), 7.119187574671446)
((u'CLT', u'DAY'), 8.142731946716523)
((u'MTJ', u'CLE'), 17.5)
((u'AVP', u'BWI'), 2.8535139712108384)
((u'MSN', u'ORD'), 7.357279084551812)
((u'OAK', u'SFO'), 8.160852713178295)
((u'SJC', u'ONT'), 5.086373209224929)
((u'LAX', u'VIS'), 2.4805194805194803)
((u'SRQ', u'MCO'), 2.9094370096908166)
((u'LAS', u'CLT'), 12.969696969696969)
((u'PHL', u'JFK'), 7.644806806097129)
((u'LAS', u'LIT'), 10.882113821138212)
((u'LAX', u'DAY'), 8.540922126626958)
((u'IAH', u'DEN'), 8.32269792420951)
((u'ISP', u'CLT'), 4.686723709632901)
((u'TYS', u'PIT'), 3.4344192934207745)
((u'CRP', u'HOU'), 6.1423774522764525)
((u'DTW', u'CVG'), 5.670044101031454)
((u'DFW', u'PHX'), 9.725205567550185)
((u'CVG', u'MHT'), 6.620481927710843)
((u'HOU', u'LAX'), 8.496350364963504)
((u'GRR', u'DAY'), 6.014934660858743)
((u'MCN', u'EYW'), 0.0)
((u'ICT', u'LIT'), 5.122362869198312)
((u'AGS', u'SAV'), 11.022677714784125)
((u'CVG', u'LAN'), 7.032921810699588)
((u'DFW', u'MLI'), 0.0)
((u'ANC', u'STL'), 11.294372294372295)
((u'ISP', u'BUF'), 0.0)
((u'LAS', u'SGU'), 0.0)
((u'DFW', u'TLH'), 6.618150684931507)
((u'SDF', u'LGA'), 9.92443703085905)
((u'ROA', u'ORD'), 8.092896174863387)
((u'LAS', u'PIT'), 9.398375698765953)
((u'LAX', u'BDL'), 7.741984732824427)
((u'AZO', u'SBN'), 0.9195402298850575)
((u'MKE', u'DSM'), 2.0642201834862384)
((u'DEN', u'SLC'), 9.667782622236064)
((u'JNU', u'FAI'), 11.770400405473898)
((u'BOS', u'MIA'), 10.355972720241862)
((u'ROA', u'ATL'), 8.5788130185067)
((u'ORD', u'ISP'), 8.939921505484552)
((u'CLT', u'GSP'), 7.866487292295386)
((u'ELP', u'HOU'), 8.523175071608367)
((u'ATL', u'ILM'), 12.32175925925926)
((u'DTW', u'PIA'), 8.440217391304348)
((u'BOI', u'ORD'), 8.532835820895523)
((u'BET', u'ANC'), 10.128991383679676)
((u'LGB', u'SMF'), 1.887029288702929)
((u'LFT', u'DFW'), 8.34448951994591)
((u'CVG', u'SEA'), 10.764351363567878)
((u'LGB', u'FLL'), 5.0773809523809526)
((u'PIT', u'DAY'), 8.973725430751351)
((u'SAT', u'CLT'), 4.248451730418943)
((u'GEG', u'BOI'), 5.080217823855901)
((u'STL', u'SJC'), 9.508954847389221)
((u'IAD', u'ORD'), 10.603868432468294)
((u'BWI', u'GSO'), 8.731770592050403)
((u'MLB', u'EWR'), 10.926330798479087)
((u'LGA', u'PIT'), 11.498280832888414)
((u'GSO', u'CHS'), 10.881303335919318)
((u'GSP', u'GSO'), 4.308439133681852)
((u'DFW', u'SBA'), 7.110494450050454)
((u'MCO', u'CVG'), 6.454111858620343)
((u'EWR', u'DEN'), 11.968917646095253)
((u'ABE', u'ORD'), 10.19064366661084)
((u'AUS', u'SAT'), 3.6876528117359415)
((u'MSP', u'MIA'), 9.38640873015873)
((u'CEC', u'ACV'), 1.2371323529411764)
((u'SAT', u'STL'), 4.036533333333334)
((u'DCA', u'PIT'), 6.848045955938522)
((u'SWF', u'CLT'), 5.054585152838428)
((u'BOS', u'STL'), 10.398181027610697)
((u'IAH', u'OMA'), 7.675772155828031)
((u'ATL', u'PHX'), 11.783693756993781)
((u'ORD', u'MLI'), 14.310068649885583)
((u'SFO', u'ORD'), 10.505539828450862)
((u'EWR', u'ONT'), 43.5)
((u'SAN', u'AUS'), 9.962579617834395)
((u'CLE', u'DEN'), 7.965786007025761)
((u'OAK', u'IAH'), 5.952843273231623)
((u'PHX', u'OAK'), 8.419259843250012)
((u'ICT', u'TUL'), 5.950661077071913)
((u'DTW', u'MSN'), 9.281630740393627)
((u'SLC', u'PIH'), 2.8710990502035276)
((u'EWR', u'DFW'), 9.118987670765582)
((u'LEX', u'EWR'), 12.323671497584542)
((u'SJU', u'CLT'), 10.564497433349892)
((u'SAV', u'ORD'), 10.875420875420875)
((u'FWA', u'ORD'), 7.5696861520154695)
((u'MDT', u'LGA'), 38.0)
((u'TUL', u'IAH'), 4.845479868321094)
((u'SBN', u'DAY'), 5.504860146796271)
((u'CEC', u'SFO'), 14.448160535117056)
((u'OAK', u'EWR'), 11.729665071770334)
((u'DSM', u'RDU'), 17.0)
((u'PVD', u'ATL'), 6.978623874940786)
((u'MEM', u'CVG'), 5.705342163355408)
((u'JFK', u'ABQ'), 0.0)
((u'PVD', u'BNA'), 9.437022900763358)
((u'PIT', u'ERI'), 9.686763483448242)
((u'RIC', u'BNA'), 2.004208481709291)
((u'BGM', u'ITH'), 1.3015075376884422)
((u'SYR', u'DEN'), 303.0)
((u'IAH', u'MKE'), 7.378430121250798)
((u'DFW', u'BOS'), 10.361746063098167)
((u'JFK', u'CVG'), 11.433933933933934)
((u'MLI', u'RDU'), 0.0)
((u'ABQ', u'ORD'), 7.2839785676552715)
((u'BTV', u'ALB'), 2.382103990326481)
((u'GEG', u'SFO'), 12.500973556937378)
((u'TPA', u'HOU'), 2.554054054054054)
((u'JFK', u'HPN'), 7.904761904761905)
((u'CHA', u'ORD'), 7.6255801959773075)
((u'SHV', u'MLU'), 9.115153014930298)
((u'JAX', u'MSP'), 6.966145833333333)
((u'STL', u'SMF'), 12.647889374090248)
((u'HOU', u'DTW'), 5.196820832334851)
((u'BOI', u'DFW'), 3.475)
((u'FLL', u'MHT'), 3.03125)
((u'BGR', u'LGA'), 14.00523560209424)
